episode,agent,decision,signal_id,reward
1,IPPO,50,J01,-4.0
1,IPPO,100,J01,-4.0
1,IPPO,150,J01,-4.0
1,IPPO,200,J01,-4.0
1,IPPO,250,J01,-4.0
1,IPPO,300,J01,-4.0
1,IPPO,350,J01,-4.0
1,IPPO,400,J01,-4.0
1,IPPO,450,J01,-4.0
1,IPPO,500,J01,-4.0
1,IPPO,550,J01,-4.0
1,IPPO,600,J01,-4.0
1,IPPO,650,J01,-4.0
1,IPPO,700,J01,-4.0
1,IPPO,750,J01,-4.0
1,IPPO,800,J01,-4.0
1,IPPO,850,J01,-4.0
1,IPPO,900,J01,-4.0
1,IPPO,950,J01,-4.0
1,IPPO,1000,J01,-4.0
1,IPPO,1050,J01,-4.0
2,IPPO,50,J01,-4.0
2,IPPO,100,J01,-4.0
2,IPPO,150,J01,-4.0
2,IPPO,200,J01,-4.0
2,IPPO,250,J01,-4.0
2,IPPO,300,J01,-4.0
2,IPPO,350,J01,-4.0
2,IPPO,400,J01,-4.0
2,IPPO,450,J01,-4.0
2,IPPO,500,J01,-4.0
2,IPPO,550,J01,-4.0
2,IPPO,600,J01,-4.0
2,IPPO,650,J01,-4.0
2,IPPO,700,J01,-4.0
2,IPPO,750,J01,-4.0
2,IPPO,800,J01,-4.0
2,IPPO,850,J01,-4.0
2,IPPO,900,J01,-2.38839
2,IPPO,950,J01,-3.15848
2,IPPO,1000,J01,-4.0
2,IPPO,1050,J01,-4.0
3,IPPO,50,J01,-4.0
3,IPPO,100,J01,-4.0
3,IPPO,150,J01,-4.0
3,IPPO,200,J01,-4.0
3,IPPO,250,J01,-4.0
3,IPPO,300,J01,-4.0
3,IPPO,350,J01,-4.0
3,IPPO,400,J01,-4.0
3,IPPO,450,J01,-4.0
3,IPPO,500,J01,-4.0
3,IPPO,550,J01,-4.0
3,IPPO,600,J01,-4.0
3,IPPO,650,J01,-4.0
3,IPPO,700,J01,-4.0
3,IPPO,750,J01,-4.0
3,IPPO,800,J01,-4.0
3,IPPO,850,J01,-4.0
3,IPPO,900,J01,-4.0
3,IPPO,950,J01,-4.0
3,IPPO,1000,J01,-3.37277
3,IPPO,1050,J01,-4.0
4,IPPO,50,J01,-4.0
4,IPPO,100,J01,-4.0
4,IPPO,150,J01,-4.0
4,IPPO,200,J01,-4.0
4,IPPO,250,J01,-4.0
4,IPPO,300,J01,-4.0
4,IPPO,350,J01,-4.0
4,IPPO,400,J01,-4.0
4,IPPO,450,J01,-4.0
4,IPPO,500,J01,-4.0
4,IPPO,550,J01,-4.0
4,IPPO,600,J01,-4.0
4,IPPO,650,J01,-4.0
4,IPPO,700,J01,-4.0
4,IPPO,750,J01,-4.0
4,IPPO,800,J01,-4.0
4,IPPO,850,J01,-4.0
4,IPPO,900,J01,-4.0
4,IPPO,950,J01,-4.0
4,IPPO,1000,J01,-4.0
4,IPPO,1050,J01,-1.17188
5,IPPO,50,J01,-4.0
5,IPPO,100,J01,-4.0
5,IPPO,150,J01,-4.0
5,IPPO,200,J01,-4.0
5,IPPO,250,J01,-4.0
5,IPPO,300,J01,-4.0
5,IPPO,350,J01,-4.0
5,IPPO,400,J01,-4.0
5,IPPO,450,J01,-4.0
5,IPPO,500,J01,-4.0
